X;Y;Unique Squirrel ID;Hectare;Shift;Date;Hectare Squirrel Number;Age;Primary Fur Color;Highlight Fur Color;Combination of Primary and Highlight Color;Color notes;Location;Above Ground Sighter Measurement;Specific Location;Running;Chasing;Climbing;Eating;Foraging;Other Activities;Kuks;Quaas;Moans;Tail flags;Tail twitches;Approaches;Indifferent;Runs from;Other Interactions;Lat/Long
-739.579.292.340.076;407.976.287.835.027;39C-PM-1006-04;39C;PM;10062018;4;Adult;Gray;White;Gray+White;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9579292340076 40.7976287835027)
-739.568.378.330.302;407.880.317.802.766;30I-PM-1006-04;30I;PM;10062018;4;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.9568378330302 40.7880317802766)
-739.772.908.667.333;407.697.207.404.744;4C-AM-1006-05;04C;AM;10062018;5;Juvenile;Gray;White;Gray+White;;Above Ground;20;;FALSE;FALSE;TRUE;TRUE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9772908667333 40.7697207404744)
-739.751.615.527.833;40.767.013.871.509;3F-AM-1006-03;03F;AM;10062018;3;Adult;Gray;Cinnamon, White;Gray+Cinnamon, White;Gray & Cinnamon selected as Primary. Cinnamon & White selected as Highlights. Made executive adjustments.;Ground Plane;FALSE;on the path;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;POINT (-73.9751615527833 40.767013871509)
-739.728.723.853.967;407.670.816.164.986;4H-PM-1006-01;04H;PM;10062018;1;Adult;Gray;Cinnamon, White;Gray+Cinnamon, White;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9728723853967 40.7670816164986)
-739.698.246.369.929;407.711.472.794.488;9H-AM-1006-04;09H;AM;10062018;4;Adult;Gray;Cinnamon, White;Gray+Cinnamon, White;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9698246369929 40.7711472794488)
-739.538.475.741.188;40.796.479.421.955;40F-PM-1006-02;40F;PM;10062018;2;Adult;Gray;Cinnamon;Gray+Cinnamon;;Above Ground;6;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9538475741188 40.796479421955)
-73.955.068.474.109;407.911.788.152.878;34H-PM-1006-05;34H;PM;10062018;5;Adult;Gray;Cinnamon, White;Gray+Cinnamon, White;white tail tip;Ground Plane;FALSE;in grass;TRUE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.955068474109 40.7911788152878)
-739.744.080.700.098;407.731.515.721.826;9C-PM-1006-07;09C;PM;10062018;7;Adult;Black;Cinnamon, White;Black+Cinnamon, White;;Ground Plane;FALSE;on top of tarped sand pile;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(me);POINT (-73.9744080700098 40.7731515721826)
-739.747.873.899.653;407.731.945.258.327;9C-PM-1006-04;09C;PM;10062018;4;Adult;Cinnamon;Gray, White;Cinnamon+Gray, White;;Ground Plane;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9747873899653 40.7731945258327)
