Hectare,Shift,Date,Age,Primary Fur Color,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
13F,AM,10072018,Adult,Cinnamon,False,False,False,True,True,False,False,False,False,False,True,False
20B,PM,10132018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
03A,PM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
29H,PM,10062018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
23C,PM,10142018,Adult,Gray,False,True,False,False,False,False,False,False,False,False,False,False
33C,PM,10072018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,True,False
38G,PM,10202018,Adult,Gray,False,False,False,True,True,False,False,True,False,False,True,False
16G,PM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
36I,PM,10072018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
35A,AM,10142018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
28C,PM,10062018,Adult,Gray,False,False,False,False,False,False,False,True,False,False,False,True
32D,AM,10132018,Adult,Cinnamon,True,False,False,True,True,False,False,False,True,True,False,False
22A,AM,10082018,Adult,Gray,False,False,False,True,False,False,False,True,False,False,False,True
40B,PM,10142018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,True,False
19C,PM,10182018,Adult,Gray,True,True,False,True,False,False,False,False,True,False,True,False
35A,PM,10132018,Adult,Cinnamon,True,False,False,False,False,False,False,False,False,False,False,True
14E,AM,10082018,Adult,Gray,True,True,False,False,False,True,False,False,False,False,False,True
15G,PM,10192018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
10F,AM,10072018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
42E,PM,10122018,Adult,Cinnamon,True,False,False,False,True,False,False,False,False,False,False,True
22B,AM,10132018,Adult,Cinnamon,False,False,False,False,True,False,False,False,False,False,False,True
15F,PM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
05A,AM,10062018,Adult,Gray,False,False,False,False,True,False,False,True,False,False,False,True
32H,PM,10062018,Unknown,Gray,False,False,True,False,False,False,False,False,False,False,False,False
42C,AM,10072018,Unknown,Unknown,False,False,False,False,False,False,True,False,False,False,False,False
41D,AM,10142018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
21G,PM,10072018,Adult,Gray,False,False,False,True,False,False,False,True,False,False,True,False
14E,AM,10082018,Adult,Gray,True,False,False,False,True,False,False,False,False,False,False,True
07H,PM,10062018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,True,False
22F,AM,10072018,Adult,Gray,False,False,True,False,True,False,False,False,False,False,True,False
07F,AM,10082018,Juvenile,Gray,False,False,False,False,False,False,False,False,False,False,False,True
10F,PM,10192018,Adult,Black,False,False,True,False,False,False,False,False,False,False,True,False
10A,AM,10062018,Juvenile,Gray,False,False,False,False,False,False,False,False,True,False,False,False
38F,PM,10132018,Juvenile,Gray,False,False,False,False,True,True,True,False,False,False,False,False
41B,PM,10142018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,True
36A,PM,10132018,Unknown,Gray,False,True,False,False,False,False,False,False,False,False,False,True
05C,AM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
32E,PM,10172018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,True,False
31A,PM,10172018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,False,False
42G,AM,10182018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
37D,PM,10142018,Adult,Gray,False,True,False,False,True,False,False,False,False,False,False,True
37E,PM,10062018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
24B,AM,10132018,Unknown,Gray,True,False,False,True,False,False,False,False,True,False,False,True
07G,AM,10102018,Adult,Gray,True,False,False,False,False,False,False,False,True,False,False,True
05C,PM,10102018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
15I,AM,10082018,Adult,Gray,False,False,True,True,False,False,False,False,False,False,True,False
19B,PM,10182018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,False
13D,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,True,False
36I,PM,10072018,Juvenile,Gray,False,False,False,True,False,False,False,False,False,False,True,False
41B,AM,10102018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
35B,AM,10102018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,True,False
40D,PM,10132018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,False
38B,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
40I,AM,10182018,Adult,Cinnamon,True,False,False,False,True,False,False,False,False,False,False,False
07B,AM,10082018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
13D,AM,10142018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,True
16G,AM,10102018,Adult,Gray,False,False,False,False,True,True,False,False,False,False,False,True
40A,AM,10102018,Adult,Gray,False,False,False,True,True,False,False,True,False,False,True,True
15I,PM,10122018,Adult,Cinnamon,True,False,False,False,True,False,False,False,False,False,False,False
03B,PM,10072018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
21D,AM,10082018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,True,False
10B,PM,10142018,Adult,Gray,False,False,False,True,True,False,False,False,True,False,False,False
13E,PM,10082018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,True,False
41A,PM,10072018,Adult,Black,True,False,True,True,False,False,False,False,False,False,False,True
02F,AM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
20B,AM,10072018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
26A,PM,10062018,Adult,Gray,False,False,True,False,False,False,False,True,False,False,False,False
35E,PM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,True
11G,PM,10132018,Adult,Gray,False,False,True,False,True,False,False,False,False,False,False,True
36I,PM,10072018,Adult,Gray,False,False,False,True,False,False,False,False,True,True,False,False
07A,AM,10062018,Adult,Gray,False,False,False,False,True,False,True,False,True,False,False,False
07G,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
14E,AM,10082018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
03D,PM,10102018,Adult,Cinnamon,False,False,False,False,False,False,False,False,False,False,False,False
35D,PM,10132018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
07F,PM,10122018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,True,False
18G,PM,10132018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,False,True
06F,PM,10082018,Adult,Gray,False,True,False,False,False,False,False,False,False,False,False,False
09F,AM,10132018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
38E,AM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
33G,AM,10132018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,True
39G,AM,10182018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,False,False
32G,PM,10132018,Juvenile,Gray,False,False,False,False,True,False,False,False,False,False,True,False
04D,PM,10082018,Adult,Cinnamon,False,True,False,False,False,True,False,True,False,False,False,True
06H,AM,10082018,Adult,Cinnamon,False,False,False,True,False,False,False,False,False,False,False,False
05E,AM,10082018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,True,False
15D,PM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
16E,AM,10142018,Adult,Gray,False,False,False,True,True,False,False,False,False,True,False,False
39H,PM,10132018,Juvenile,Gray,False,False,False,False,True,False,False,False,True,False,True,False
39C,PM,10062018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
31A,AM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,False,False
09F,PM,10142018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,True,False
21G,PM,10072018,Adult,Gray,False,False,False,True,False,False,False,True,False,False,False,True
02F,AM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,True,False
20F,PM,10072018,Adult,Gray,False,False,False,True,True,False,False,False,True,False,True,False
35E,PM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,False,True,False,False
09G,AM,10072018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,True,False
05D,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
14F,PM,10122018,Adult,Cinnamon,False,False,False,True,True,False,False,False,True,False,True,False
23F,AM,10182018,Adult,Cinnamon,False,False,True,False,False,False,False,False,False,False,True,False
39A,PM,10142018,Adult,Gray,False,True,False,False,False,False,False,False,False,False,False,False
13A,PM,10142018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,True
