X,Y,Unique Squirrel ID,Hectare,Shift,Date,Age,Primary Fur Color,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
-739.767.590.273.554,407.717.561.807.266,6B-PM-1017-07,06B,PM,10172018,Adult,Gray,True,True,False,False,True,False,False,False,False,False,False,False
-7.395.744.422.055,407.961.046.528.557,38D-AM-1017-04,38D,AM,10172018,Adult,Cinnamon,True,False,False,False,False,False,False,False,False,False,False,False
-739.579.097.104.326,407.972.273.394.716,39C-AM-1017-03,39C,AM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,True
-739.590.191.812.452,407.906.166.981.409,32E-PM-1017-08,32E,PM,10172018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,False,True
-739.675.917.702.187,407.789.922.281.625,17E-AM-1017-02,17E,AM,10172018,Adult,Gray,False,False,True,False,True,False,False,False,False,False,True,False
-739.693.719.015.914,407.768.710.160.557,14E-PM-1017-02,14E,PM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.706.428.641.753,407.762.933.936.464,13E-AM-1017-07,13E,AM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-73.972.399.596.842,407.788.765.078.432,15B-PM-1017-04,15B,PM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.690.212.174,407.834.099.404.107,21B-PM-1017-05,21B,PM,10172018,Juvenile,Gray,True,False,False,False,False,False,False,False,False,False,False,False
-739.562.946.873.694,407.938.593.012.595,36F-AM-1017-01,36F,AM,10172018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
-739.711.001.278.389,407.787.466.095.841,15C-PM-1017-01,15C,PM,10172018,Adult,Gray,True,False,False,True,True,False,False,False,False,False,False,True
-73.969.628.583.287,407.704.067.797.932,8H-AM-1017-03,08H,AM,10172018,Adult,Gray,True,False,False,False,True,False,False,False,False,False,True,False
-739.710.674.928.906,407.778.757.544.025,15D-PM-1017-06,15D,PM,10172018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,False,False
-739.744.917.362.668,4.077.783.887.377,13A-AM-1017-02,13A,AM,10172018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,True,False
-739.551.923.408.239,407.968.302.661.402,40E-PM-1017-01,40E,PM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-739.507.140.045.973,407.957.700.986.293,41I-PM-1017-01,41I,PM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-739.595.886.063.173,407.918.405.182.594,33D-AM-1017-09,33D,AM,10172018,Adult,Black,False,False,True,False,False,True,True,False,False,False,True,True
-739.561.432.836.863,407.982.665.347.234,41C-AM-1017-07,41C,AM,10172018,Adult,Cinnamon,False,False,False,False,True,False,False,False,True,False,True,False
-73.971.314.838.366,40.774.951.285.041,12E-AM-1017-03,12E,AM,10172018,Adult,Gray,False,False,True,False,True,False,False,False,False,False,True,False
-73.960.094.705.031,407.916.066.137.699,33D-AM-1017-01,33D,AM,10172018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
-739.692.660.977.515,407.830.532.310.766,21B-PM-1017-01,21B,PM,10172018,Juvenile,Cinnamon,False,False,False,True,False,False,False,False,False,False,False,False
-739.705.409.446.299,407.764.608.087.703,14E-PM-1017-03,14E,PM,10172018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,False,False
-73.953.092.053.256,407.982.256.930.243,42F-PM-1017-03,42F,PM,10172018,Unknown,Gray,True,False,False,False,False,False,False,False,False,False,True,False
-739.532.163.535.175,407.982.970.313.067,42F-PM-1017-04,42F,PM,10172018,Unknown,Gray,True,False,False,False,False,False,False,False,False,False,True,False
-739.714.787.178.201,407.798.049.470.745,16B-PM-1017-01,16B,PM,10172018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,True,False
-739.744.025.383.371,407.777.296.605.765,13A-AM-1017-04,13A,AM,10172018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,True,False
-73.969.370.141.813,407.840.721.191.988,22A-PM-1017-03,22A,PM,10172018,Juvenile,Gray,False,False,False,True,False,False,False,False,False,False,False,False
-739.726.236.083.428,407.788.217.771.475,15B-PM-1017-03,15B,PM,10172018,Adult,Gray,True,False,False,False,True,False,False,False,False,False,True,False
-739.654.288.151.266,407.815.953.970.174,21E-AM-1017-02,21E,AM,10172018,Adult,Gray,False,True,False,False,False,False,False,False,False,False,True,False
-739.705.837.974.358,407.758.494.849.673,13E-AM-1017-13,13E,AM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,True,False,False
-739.703.604.542.938,407.762.690.223.294,13E-AM-1017-04,13E,AM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.575.791.421.589,407.959.934.459.432,38D-AM-1017-06,38D,AM,10172018,Adult,Black,True,False,False,False,False,False,False,False,False,False,False,True
-739.689.586.689.061,407.839.613.907.139,21B-PM-1017-04,21B,PM,10172018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,False,True
-739.643.538.221.947,407.917.565.604.735,31A-PM-1017-01,31A,PM,10172018,Juvenile,Cinnamon,False,False,False,False,True,False,False,False,True,False,False,False
-739.570.722.262.693,407.985.706.143.519,40C-AM-1017-04,40C,AM,10172018,Adult,Gray,False,True,False,True,True,False,False,False,False,False,True,False
