Hectare,Shift,Date,Hectare Conditions,Number of Squirrels,Weather,Dogs
21G,AM,10072018,Busy,5,80.0,1
21H,AM,10072018,Busy,1,71.0,1
22B,AM,10072018,Busy,1,78.0,1
22D,PM,10072018,Busy,2,70.0,1
22E,PM,10072018,Calm,6,70.0,1
22I,AM,10072018,Busy,1,80.0,1
23B,PM,10072018,Busy,12,70.0,1
23D,AM,10072018,Busy,0,80.0,1
23F,AM,10072018,,1,80.0,1
23H,AM,10072018,Busy,3,74.2,0
24A,AM,10072018,Busy,4,80.0,0
25A,AM,10072018,Calm,5,74.2,1
25B,AM,10072018,Calm,1,78.0,1
27C,AM,10072018,Calm,14,70.0,1
28C,AM,10072018,Busy,3,81.0,1
28I,AM,10072018,Busy,4,78.0,1
30A,AM,10072018,Busy,1,78.0,1
30B,AM,10072018,Calm,2,70.0,0
30B,PM,10072018,Busy,3,80.0,1
30D,AM,10072018,Calm,1,70.0,1
30F,PM,10072018,Busy,1,76.0,1
31A,AM,10072018,Busy,6,70.0,1
31D,PM,10072018,Busy,1,74.0,1
31E,AM,10072018,Busy,2,70.0,1
32B,AM,10072018,Calm,2,81.0,1
32B,PM,10072018,Calm,1,70.0,1
32G,PM,10072018,Busy,13,81.0,1
33D,PM,10072018,Busy,9,81.0,1
35E,PM,10072018,Busy,4,74.2,1
36B,AM,10072018,Calm,2,70.0,1
36D,AM,10072018,Busy,6,81.0,1
36E,PM,10072018,,4,81.0,0
36G,PM,10072018,Busy,6,71.0,1
37D,PM,10072018,Busy,4,71.0,1
38B,PM,10072018,,7,80.0,1
38C,AM,10072018,Busy,3,80.0,1
39G,PM,10072018,Busy,2,71.0,1
39H,AM,10072018,Calm,8,71.0,1
40H,PM,10072018,Moderate,7,72.0,1
40I,AM,10072018,Busy,3,72.0,1
40I,PM,10072018,Busy,0,74.2,1
41A,AM,10072018,Busy,0,74.2,0
41B,AM,10072018,Moderate,5,80.0,1
41B,PM,10072018,Calm,0,74.2,1
41C,AM,10072018,"Calm, Busy",1,79.0,1
42G,PM,10072018,Busy,9,70.0,1
42I,AM,10072018,Busy,7,80.0,0
42I,PM,10072018,Busy,8,79.0,0
02G,PM,10082018,Busy,2,62.0,1
02I,PM,10082018,Busy,9,65.0,0
03A,PM,10082018,Moderate,3,67.0,1
03B,PM,10082018,Calm,6,67.0,1
03G,AM,10082018,Calm,14,65.0,0
03H,AM,10082018,,8,65.0,0
04C,PM,10082018,Busy,4,66.0,1
04G,AM,10082018,Busy,10,66.0,1
05B,AM,10082018,Calm,2,65.0,1
05F,AM,10082018,Calm,4,66.0,1
05G,AM,10082018,Busy,6,65.0,1
05H,PM,10082018,,2,66.0,1
06B,PM,10082018,Busy,15,67.0,1
07B,PM,10082018,Busy,8,66.2,1
07I,AM,10082018,Calm,0,66.2,1
07I,PM,10082018,Busy,4,66.0,1
08A,AM,10082018,Busy,4,66.2,1
08G,AM,10082018,Busy,1,65.0,1
08G,PM,10082018,Busy,5,66.0,0
10A,PM,10082018,Busy,2,66.0,1
11A,PM,10082018,Busy,0,66.0,1
11B,AM,10082018,Busy,2,70.0,1
11D,PM,10082018,Busy,11,66.0,1
11E,PM,10082018,Busy,5,66.0,0
11G,AM,10082018,Moderate,4,65.0,1
11I,AM,10082018,Busy,1,66.0,1
12E,AM,10082018,Calm,23,65.0,0
13C,PM,10082018,Moderate,11,64.0,0
13E,AM,10082018,Busy,6,66.2,1
13F,PM,10082018,Calm,7,67.0,1
13G,AM,10082018,Busy,6,66.2,1
14D,AM,10082018,Calm,3,68.0,0
14F,AM,10082018,Calm,4,70.0,0
14I,AM,10082018,Calm,0,66.0,0
14I,PM,10082018,Calm,7,67.0,1
16F,PM,10082018,Moderate,3,68.0,0
18C,AM,10082018,Busy,6,68.0,1
19B,AM,10082018,Calm,0,67.0,1
21D,AM,10082018,Calm,2,65.0,1
23C,AM,10082018,Busy,1,65.0,1
23E,AM,10082018,Busy,3,66.0,1
23E,PM,10082018,Busy,1,65.0,1
25I,PM,10082018,Busy,5,66.2,0
27C,PM,10082018,Busy,8,66.0,1
29C,PM,10082018,Calm,2,65.0,1
29H,PM,10082018,Calm,5,66.0,1
32F,AM,10082018,Busy,2,66.0,1
35B,AM,10082018,Calm,6,67.0,0
36B,PM,10082018,Calm,0,66.2,1
37A,AM,10082018,,0,66.2,1
37D,AM,10082018,Busy,0,64.0,1
37F,AM,10082018,Calm,1,66.2,0
37G,AM,10082018,Busy,0,65.0,0
40B,AM,10082018,Busy,2,66.2,1
40G,AM,10082018,Busy,6,70.0,1
40G,PM,10082018,Busy,6,70.0,1
41F,AM,10082018,,1,65.0,0
41G,AM,10082018,Calm,3,65.0,0
42F,AM,10082018,Calm,6,68.0,1
42F,PM,10082018,Calm,17,68.0,1
01D,PM,10102018,Calm,5,74.0,1
01E,PM,10102018,Busy,3,77.0,1
01H,AM,10102018,Busy,9,73.0,1
01I,AM,10102018,Busy,9,70.0,0
02A,PM,10102018,Calm,7,73.0,1
02C,AM,10102018,Busy,4,73.0,1
02H,PM,10102018,Busy,14,77.0,1
03C,PM,10102018,Busy,5,74.0,1
03E,PM,10102018,Busy,6,70.0,1
03F,AM,10102018,Busy,17,77.0,1
04C,AM,10102018,Calm,4,77.0,1
04E,AM,10102018,Busy,13,77.0,1
04H,PM,10102018,Busy,5,77.0,1
05A,PM,10102018,Busy,6,74.0,1
05F,PM,10102018,Busy,5,77.0,0
06D,AM,10102018,Busy,1,77.0,0
06F,AM,10102018,Busy,9,72.4,1
07G,AM,10102018,Busy,4,77.0,1
07G,PM,10102018,Busy,9,70.0,0
08D,PM,10102018,Busy,7,77.0,1
08H,AM,10102018,Busy,2,71.0,1
09B,AM,10102018,Busy,4,72.4,1
09F,AM,10102018,Calm,8,72.0,1
09I,PM,10102018,Calm,9,70.0,0
11C,AM,10102018,"Calm, Busy",4,71.0,1
11G,PM,10102018,Busy,9,80.0,1
13A,PM,10102018,Calm,3,74.0,1
13D,AM,10102018,Busy,7,80.0,1
14A,PM,10102018,Moderate,13,76.0,1
14D,PM,10102018,Busy,5,70.0,1
14H,AM,10102018,Busy,3,73.0,1
15D,PM,10102018,Moderate,0,70.0,1
17A,AM,10102018,Moderate,5,70.0,1
17C,AM,10102018,Calm,2,73.0,1
20E,PM,10102018,Busy,0,72.4,1
20F,PM,10102018,Busy,0,73.0,0
21B,AM,10102018,Busy,1,70.0,1
21C,AM,10102018,Busy,6,79.0,1
21C,PM,10102018,Busy,2,73.0,1
21H,PM,10102018,Busy,2,79.0,1
22D,AM,10102018,Busy,5,72.4,1
22F,PM,10102018,Busy,2,77.0,1
23A,AM,10102018,Busy,1,22.0,1
23G,PM,10102018,Busy,0,76.0,1
23I,AM,10102018,Calm,5,25.0,1
24B,PM,10102018,Calm,3,79.0,1
26I,PM,10102018,Busy,6,81.0,1
28A,AM,10102018,Calm,2,73.0,1
28B,AM,10102018,Moderate,1,72.0,1
28D,AM,10102018,Busy,12,81.0,0
28D,PM,10102018,Calm,6,70.0,1
30G,AM,10102018,Calm,7,80.0,0
30I,PM,10102018,Calm,4,73.0,1
32F,PM,10102018,Calm,2,72.0,1
33C,PM,10102018,Busy,1,72.4,1
33F,AM,10102018,Calm,5,72.4,1
34B,AM,10102018,Calm,12,72.0,0
35G,AM,10102018,Moderate,4,72.0,0
38D,PM,10102018,Busy,8,70.0,1
38F,PM,10102018,Busy,10,70.0,1
42C,AM,10102018,Calm,11,72.4,0
01B,AM,10122018,Busy,17,60.0,1
01G,AM,10122018,Busy,2,59.0,0
02A,AM,10122018,Busy,2,61.0,0
03F,PM,10122018,Busy,4,60.0,1
04F,PM,10122018,Busy,6,61.0,0
05B,PM,10122018,Busy,7,60.0,1
05D,AM,10122018,Busy,2,58.0,1
06C,PM,10122018,Calm,3,58.0,0
06E,PM,10122018,Calm,3,60.0,1
06G,PM,10122018,Busy,0,59.0,1
06I,AM,10122018,Busy,9,60.0,0
07C,AM,10122018,Calm,8,60.0,1
07D,AM,10122018,Calm,0,60.0,0
09F,PM,10122018,Busy,7,61.0,1
09H,AM,10122018,Calm,1,60.0,0
10A,AM,10122018,Calm,2,60.0,1
10G,PM,10122018,Calm,5,60.0,1
12E,PM,10122018,Calm,9,61.0,1
12F,PM,10122018,Calm,4,60.0,1
12G,AM,10122018,Busy,8,61.0,1
14G,PM,10122018,Busy,3,60.0,1
15F,PM,10122018,Calm,2,58.0,1
16A,AM,10122018,Calm,0,58.0,1
18C,PM,10122018,Calm,2,61.0,0
19A,PM,10122018,"Calm, Busy",7,61.0,0
19G,AM,10122018,Busy,7,60.0,1
21A,AM,10122018,Calm,3,60.0,1
21F,AM,10122018,Busy,0,61.0,0
22A,PM,10122018,Busy,6,59.0,1
26A,AM,10122018,Busy,0,60.0,1
27I,AM,10122018,Calm,7,59.0,1
28I,PM,10122018,Calm,2,59.0,1
29B,PM,10122018,Busy,9,61.0,1
29C,AM,10122018,Calm,6,60.0,1
29E,PM,10122018,Busy,0,61.0,1
29I,AM,10122018,Calm,3,59.0,1
30A,PM,10122018,Calm,4,61.0,1
30D,PM,10122018,Calm,1,60.0,1
30G,PM,10122018,Busy,4,59.0,0
31D,AM,10122018,Calm,3,61.0,1
31F,PM,10122018,Busy,0,61.0,1
32C,PM,10122018,Calm,2,61.0,1
32D,AM,10122018,Busy,7,61.0,0
32E,PM,10122018,Busy,2,61.0,1
32H,AM,10122018,Calm,1,59.0,0
33A,AM,10122018,Calm,4,59.0,0
34E,AM,10122018,Calm,1,61.0,0
35A,PM,10122018,Calm,4,61.0,0
37F,PM,10122018,Busy,6,61.0,1
38B,AM,10122018,Calm,2,60.0,1
38C,PM,10122018,Busy,4,60.0,1
38F,AM,10122018,Calm,3,60.0,1
39F,PM,10122018,Calm,7,60.0,1
39H,PM,10122018,Busy,7,60.0,1
41A,PM,10122018,Calm,0,60.0,0
01C,AM,10132018,Busy,10,55.0,1
01F,PM,10132018,Busy,2,56.0,0
03B,AM,10132018,Busy,3,57.0,1
03C,AM,10132018,Busy,8,56.0,0
04D,AM,10132018,Busy,6,55.0,1
06A,AM,10132018,Busy,7,57.0,1
06H,AM,10132018,,8,52.1,0
07B,AM,10132018,Calm,2,46.0,1
07F,AM,10132018,Calm,9,56.0,1
08B,AM,10132018,Busy,4,46.0,1
09B,PM,10132018,Busy,1,56.0,1
09C,PM,10132018,Busy,5,55.0,1
09G,AM,10132018,Busy,4,48.0,0
09G,PM,10132018,Busy,3,49.0,1
09H,PM,10132018,Busy,2,55.0,0
10B,AM,10132018,,4,55.0,1
10C,PM,10132018,Calm,3,48.0,1
10D,PM,10132018,Busy,2,52.1,1
10H,PM,10132018,Calm,1,46.0,1
11F,PM,10132018,Calm,0,50.0,0
11H,AM,10132018,Calm,1,60.0,1
