Hectare,Shift,Date,Hectare Conditions,Number of Squirrels,Weather,Dogs
28C,PM,10182018,Calm,4,47.6,1
30C,PM,10182018,,0,45.0,0
30E,PM,10182018,,0,47.6,0
31H,AM,10182018,Calm,2,45.0,1
32E,AM,10182018,,0,47.6,0
32H,PM,10182018,Calm,6,45.0,1
33A,PM,10182018,Calm,2,45.0,0
33E,PM,10182018,Calm,4,45.0,1
33H,PM,10182018,Busy,2,53.0,1
34C,AM,10182018,,6,45.0,1
34D,PM,10182018,Busy,0,45.0,1
34I,AM,10182018,Busy,1,45.0,1
35C,AM,10182018,Busy,5,45.0,1
35D,PM,10182018,Calm,2,45.0,0
36A,AM,10182018,Calm,0,45.0,1
36C,PM,10182018,Busy,2,45.0,0
37B,AM,10182018,Busy,2,45.0,1
37H,AM,10182018,Calm,3,45.0,1
40A,AM,10182018,Calm,0,47.6,1
40A,PM,10182018,Busy,4,47.6,0
40C,PM,10182018,Busy,5,51.0,1
40D,AM,10182018,Busy,8,51.0,1
01B,PM,10192018,Busy,10,8.0,1
01E,AM,10192018,Busy,3,59.0,1
01H,PM,10192018,Calm,6,55.0,1
08I,PM,10192018,Busy,12,58.0,1
11B,PM,10192018,Calm,5,56.0,0
12D,AM,10192018,Busy,16,60.0,1
13E,PM,10192018,Calm,12,60.0,1
13H,AM,10192018,Calm,7,58.0,1
16E,AM,10192018,Busy,2,46.0,1
16E,PM,10192018,Busy,0,46.0,1
19G,PM,10192018,Moderate,0,48.0,1
19H,PM,10192018,Busy,1,48.0,1
20C,AM,10192018,"Calm, Busy",1,60.0,1
20D,AM,10192018,Busy,1,46.0,1
20D,PM,10192018,Busy,3,60.0,1
20G,PM,10192018,Busy,1,45.0,1
22A,AM,10192018,Busy,2,59.0,1
22C,AM,10192018,Busy,3,59.0,1
22I,PM,10192018,Busy,0,45.0,1
23B,AM,10192018,Busy,9,59.0,1
23F,PM,10192018,Busy,0,30.0,1
25B,PM,10192018,Busy,0,46.0,1
26A,PM,10192018,Busy,4,58.0,1
29E,AM,10192018,Calm,2,46.0,1
31B,AM,10192018,Busy,2,45.0,1
33G,AM,10192018,Busy,5,45.0,0
33H,AM,10192018,,5,45.0,1
33I,AM,10192018,Calm,11,45.0,1
34E,PM,10192018,Calm,1,46.0,1
34F,AM,10192018,Calm,2,45.0,0
35F,AM,10192018,Calm,0,45.0,1
35G,PM,10192018,Calm,9,47.0,1
36H,AM,10192018,,2,60.0,0
36H,PM,10192018,"Calm, Busy",0,45.0,1
37C,PM,10192018,Calm,1,45.0,1
37G,PM,10192018,Busy,2,66.0,1
37I,AM,10192018,Calm,2,66.0,1
38A,AM,10192018,Calm,0,45.0,1
40E,AM,10192018,Calm,9,50.1,1
40F,AM,10192018,Calm,7,50.1,1
03G,PM,10202018,Busy,4,55.0,1
04F,AM,10202018,Calm,4,55.0,1
05E,AM,10202018,,4,65.0,0
05E,PM,10202018,Busy,6,65.0,1
05H,AM,10202018,Busy,4,61.0,0
05I,AM,10202018,Calm,3,63.0,0
10G,AM,10202018,Busy,6,55.0,1
15B,AM,10202018,,6,61.0,0
23A,PM,10202018,Busy,4,62.0,1
31C,PM,10202018,Calm,4,55.0,1
34D,AM,10202018,Calm,11,61.0,0
38I,PM,10202018,Calm,6,62.0,1
41D,AM,10202018,Busy,5,60.0,1
